code,description,emergency,year
H65-H75,Diseases of middle ear and mastoid,9021.0,2019-20
H80-H83,Diseases of inner ear,11117.0,2019-20
H90-H95,Other disorders of ear,2782.0,2019-20
I00-I02,Acute rheumatic fever,68.0,2019-20
I05-I09,Chronic rheumatic heart diseases,1929.0,2019-20
I10-I15,Hypertensive diseases,23451.0,2019-20
I20-I25,Ischaemic heart diseases,140595.0,2019-20
I26-I28,Pulmonary heart disease & diseases of pulmonary circulation,30573.0,2019-20
I30-I52,Other forms of heart disease,208184.0,2019-20
I60-I69,Cerebrovascular diseases,96937.0,2019-20
I70-I79,"Diseases of arteries, arterioles & capillaries",22817.0,2019-20
I80-I89,Diseases of veins & lymphatic system nec.,70009.0,2019-20
I95-I99,Other & unspecified disorders of the circulatory system,1271.0,2019-20
J00-J06,Acute upper respiratory infections,140993.0,2019-20
J09-J18,Influenza & pneumonia,298114.0,2019-20
J20-J22,Other acute lower respiratory infections,181948.0,2019-20
J30-J39,Other diseases of upper respiratory tract,19180.0,2019-20
J40-J47,Chronic lower respiratory diseases,211328.0,2019-20
J60-J70,Lung diseases due to external agents,28876.0,2019-20
J80-J8,Other respiratory diseases principally affecting the interstitium,9077.0,2019-20
J85-J86,Suppurative and necrotic conditions of lower respiratory tract,2604.0,2019-20
J90-J94,Other diseases of pleura,23182.0,2019-20
J95-J99,Other diseases of the respiratory system,14576.0,2019-20
K00-K14,"Diseases of oral cavity, salivary glands & jaws",22129.0,2019-20
K20-K31,"Diseases of oesophagus, stomach & duodenum",68852.0,2019-20
K35-K38,Diseases of appendix,45543.0,2019-20
K40-K46,Hernia,30577.0,2019-20
K50-K52,Noninfective enteritis & colitis,28149.0,2019-20
K55-K64,Other diseases of intestines,170458.0,2019-20
K65-K67,Diseases of peritoneum,5632.0,2019-20
K70-K77,Diseases of liver,25743.0,2019-20
K80-K87,"Disorders of gall bladder, biliary tract & pancreas",118344.0,2019-20
K90-K93,Other diseases of the digestive system,65616.0,2019-20
L00-L08,Infections of the skin and subcutaneous tissue,156855.0,2019-20
L10-L14,Bullous disorders,716.0,2019-20
L20-L30,Dermatitis and eczema,9053.0,2019-20
L40-L45,Papulosquamous disorders (including Psoriasis),1205.0,2019-20
L50-L54,Urticaria and erythems,6132.0,2019-20
L55-L59,Radiation-related disorders of the skin and subcutaneous tissue,344.0,2019-20
L60-L75,Disorders of skin appendages,12855.0,2019-20
L80-L99,Other disorders of the skin and subcutaneous tissue,18323.0,2019-20
M00-M25,Arthropathies,77999.0,2019-20
M30-M36,Systemic connective tissue disorders,4625.0,2019-20
M40-M54,Dorsopathies,88015.0,2019-20
M60-M79,Soft tissue disorders,102169.0,2019-20
