code,description,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,baseline,2018-19_pct,2019-20_pct,2020-21_pct,2021-22_pct,2022-23_pct,2023-24_pct
C50-C50,Malignant neoplasm of breast,,4173.0,3589.0,4166.0,4020.0,4135.0,4173.0,,0.0,-13.994728013419602,-0.1677450275581117,-3.6664270309130123,-0.910615863886892
C64-C68,Malignant neoplasms of urinary tract,5467.0,5625.0,5493.0,5966.0,5584.0,5873.0,5546.0,-1.42445005409304,1.42445005409304,-0.9556437071763433,7.573025604038946,0.6851785070320953,5.896141363144609
C69-C72,"Malignant neoplasms of eye, brain & other parts of CNS",4779.0,4740.0,4390.0,4742.0,4601.0,4700.0,4759.5,0.40970690198550264,-0.40970690198550264,-7.76342052736632,-0.36768568126904083,-3.330181741779599,-1.250131316314739
C73-C75,Malignant neoplasms of thyroid and other endocrine glands,,538.0,515.0,628.0,692.0,739.0,538.0,,0.0,-4.275092936802974,16.728624535315987,28.624535315985128,37.36059479553903
"C73-C80, C97",Malignant neoplsm. of thyroid and oth. endo. Glands etc,29785.0,,,,,,29785.0,0.0,,,,,
C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified site",,29220.0,,,,,29220.0,,0.0,,,,
C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",19669.0,20532.0,18676.0,20188.0,20461.0,19560.0,20100.5,-2.1467127683390963,2.1467127683390963,-7.086888385861048,0.4353125544140693,1.7934877241859655,-2.6889878361234794
C97-C97,Malignant neoplasms of independent (primary) multiple sites,,594.0,630.0,666.0,712.0,733.0,594.0,,0.0,6.0606060606060606,12.121212121212121,19.865319865319865,23.400673400673398
D00-D09,In situ neoplasms,,178.0,167.0,169.0,186.0,228.0,178.0,,0.0,-6.179775280898876,-5.056179775280898,4.49438202247191,28.08988764044944
D00-D48,In situ & benign neoplasms and others of uncertainty,15449.0,,,,,,15449.0,0.0,,,,,
D10-D36,Benign neoplasms,,8640.0,8460.0,9607.0,9574.0,10698.0,8640.0,,0.0,-2.083333333333333,11.19212962962963,10.810185185185185,23.819444444444443
D37-D48,Neoplasms of uncertain or unknown behaviour,,6807.0,6587.0,7102.0,6542.0,6504.0,6807.0,,0.0,-3.2319670926986928,4.333774056118702,-3.8930512707506977,-4.4513001322168355
D50-D53,Nutritional anaemias,,29852.0,31419.0,41128.0,42101.0,45544.0,29852.0,,0.0,5.2492295323596405,37.7730135334316,41.0324266380812,52.56599222832641
D50-D64,Anaemias,65512.0,,,,,,65512.0,0.0,,,,,
D55-D59,Haemolytic anaemias,,13578.0,10348.0,12884.0,14086.0,15232.0,13578.0,,0.0,-23.788481366917072,-5.111209309176609,3.741346295477979,12.181470025040507
D60-D64,Aplastic and other anaemias,,25212.0,23782.0,27551.0,26804.0,26754.0,25212.0,,0.0,-5.671902268760907,9.277328256385848,6.314453434872283,6.116135173726796
D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",,8422.0,6103.0,8002.0,8632.0,8852.0,8422.0,,0.0,-27.53502730942769,-4.986938969365946,2.493469484682973,5.105675611493707
D65-D89,Diseases of the blood and blood-forming organs,16113.0,,,,,,16113.0,0.0,,,,,
D70-D77,Other diseases of blood and blood-forming organs,,6804.0,4965.0,6142.0,6345.0,6958.0,6804.0,,0.0,-27.028218694885364,-9.729570840681951,-6.746031746031746,2.263374485596708
D80-D89,Certain disorders involving the immune mechanism,,1272.0,1067.0,1152.0,1101.0,1174.0,1272.0,,0.0,-16.11635220125786,-9.433962264150944,-13.443396226415095,-7.70440251572327
E00-E07,Disorders of thyroid gland,3623.0,3726.0,3898.0,4172.0,4219.0,4723.0,3674.5,-1.4015512314600627,1.4015512314600627,6.082460198666485,13.539257041774391,14.818342631650564,28.534494489046132
E10-E14,Diabetes Mellitus,49360.0,51708.0,49071.0,54215.0,52975.0,55884.0,50534.0,-2.3231883484386753,2.3231883484386753,-2.895080539834567,7.284204693869474,4.830411208295405,10.586931570823605
E15-E16,Other disorders of glucose regulation and pancreatic internal secr,,13745.0,,,,,13745.0,,0.0,,,,
E15-E90,Endocrine nutritional and metabolic diseases,91624.0,,,,,,91624.0,0.0,,,,,
E20-E35,Disorders of other endocrine glands,,5538.0,4988.0,5967.0,5979.0,6606.0,5538.0,,0.0,-9.93138317081979,7.746478873239436,7.963163596966413,19.284940411700973
E40-E46,Malnutrition,,654.0,644.0,714.0,641.0,708.0,654.0,,0.0,-1.529051987767584,9.174311926605505,-1.9877675840978593,8.256880733944955
E50-E64,Other nutritional deficiencies,,1381.0,1569.0,2173.0,2544.0,2933.0,1381.0,,0.0,13.613323678493844,57.34974656046343,84.21433743664012,112.38233164373644
E65-E68,Obesity and other hyperalimentation,,581.0,518.0,674.0,651.0,642.0,581.0,,0.0,-10.843373493975903,16.00688468158348,12.048192771084338,10.499139414802066
E70-E90,Metabolic disorders,,74407.0,69241.0,80294.0,82393.0,88015.0,74407.0,,0.0,-6.942895157713656,7.91189001034849,10.73286115553644,18.288601878855484
F00-F03,Dementia,8958.0,,,,,,8958.0,0.0,,,,,
F00-F09,"Organic, including symptomatic, mental disorders",,32398.0,32769.0,34584.0,32979.0,35862.0,32398.0,,0.0,1.1451324155812088,6.747330082103834,1.793320575344157,10.692018025804062
F04-F09,Other organic including symptomatic mental disorders,20408.0,,,,,,20408.0,0.0,,,,,
F10-F19,Mental and behavioural disorders due to psychoactive subst.,48447.0,48160.0,45721.0,43128.0,36678.0,40077.0,48303.5,0.29707992174480113,-0.29707992174480113,-5.346403469727867,-10.714544494705352,-24.067614148043106,-17.030856977237676
F20-F29,"Schizophrenia, schizotypal and delusional disorders",17906.0,16227.0,14618.0,13439.0,10819.0,10362.0,17066.5,4.918993349544429,-4.918993349544429,-14.346819793162044,-21.255090381742008,-36.6068028008086,-39.28456332581373
F30-F39,Mood [affective] disorders,18419.0,17349.0,13307.0,12506.0,9749.0,8960.0,17884.0,2.991500782822635,-2.991500782822635,-25.592708566316258,-30.07157235517781,-45.48758666964885,-49.899351375531204
F40-F48,"Neurotic, stress-related and somatoform disorders",,18948.0,17266.0,18016.0,15220.0,16877.0,18948.0,,0.0,-8.876926324678067,-4.918724931391176,-19.674899725564703,-10.929913447329534
F40-F69,"Neurotic, behavioural & personality disorders",28857.0,,,,,,28857.0,0.0,,,,,
F50-F59,Behavioural syndromes associated with physiological disturbances a,,2969.0,,,,,2969.0,,0.0,,,,
F60-F69,Disorders of adult personality and behaviour,,7561.0,5287.0,4780.0,3571.0,2920.0,7561.0,,0.0,-30.075386853590796,-36.780849094035176,-52.77079751355641,-61.380769739452454
F70-F79,Mental retardation,248.0,211.0,182.0,166.0,130.0,107.0,229.5,8.061002178649238,-8.061002178649238,-20.697167755991288,-27.66884531590414,-43.35511982570806,-53.37690631808278
F80-F89,Disorders of psychological development,,810.0,690.0,821.0,708.0,661.0,810.0,,0.0,-14.814814814814813,1.3580246913580247,-12.592592592592592,-18.395061728395063
F80-F99,Other mental and behavioural disorders,2311.0,,,,,,2311.0,0.0,,,,,
F90-F98,Behavioural and emotional disorders with onset usually occurring i,,889.0,,,,,889.0,,0.0,,,,
F99-F99,Unspecified mental disorder,,520.0,527.0,368.0,313.0,249.0,520.0,,0.0,1.3461538461538463,-29.230769230769234,-39.80769230769231,-52.11538461538462
G00-G09,Inflammatory diseases of the central nervous system,4925.0,5011.0,3821.0,4935.0,5703.0,5789.0,4968.0,-0.8655394524959743,0.8655394524959743,-23.087761674718195,-0.6642512077294686,14.794685990338163,16.525764895330113
G10-G14,Systemic atrophies primarily affecting the central nervous system,,1216.0,1025.0,1189.0,1054.0,1160.0,1216.0,,0.0,-15.707236842105262,-2.2203947368421053,-13.322368421052634,-4.605263157894736
"G10-G14, G30-G32",Other degenerative diseases (incl. Alzheimer).,6366.0,,,,,,6366.0,0.0,,,,,
G20-G26,Extrapyramidal & movement disorders (incl. Parkinsonism).,6335.0,6399.0,5947.0,6346.0,5463.0,5773.0,6367.0,-0.5025914873566829,0.5025914873566829,-6.596513271556463,-0.32982566357782317,-14.19820951782629,-9.329354484058426
G30-G32,Other degenerative diseases (incl. Alzheimer).,,5201.0,4966.0,5030.0,4591.0,4813.0,5201.0,,0.0,-4.518361853489713,-3.287829263603153,-11.728513747356278,-7.460103826187272
G35-G37,Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,3103.0,3045.0,2615.0,2891.0,2717.0,2981.0,3074.0,0.9433962264150944,-0.9433962264150944,-14.931685100845804,-5.953155497722837,-11.613532856213403,-3.02537410540013
G40-G47,"Epilepsy, migraine & other episodic disorders",86178.0,,,,,,86178.0,0.0,,,,,
G40-G47,Episodic and paroxysmal disorders,,87460.0,80144.0,87323.0,74193.0,83951.0,87460.0,,0.0,-8.364966841984907,-0.15664303681683056,-15.16922021495541,-4.012119826206266
G50-G59,"Nerve, nerve root and plexus disorders",,7823.0,7575.0,7831.0,7129.0,7578.0,7823.0,,0.0,-3.1701393327368015,0.102262559120542,-8.871277003707018,-3.1317908730665986
"G50-G73,  G90-G99",Other diseases & disorders of the nervous syst.,23564.0,,,,,,23564.0,0.0,,,,,
G60-G64,Polyneuropathies and other disorders of the peripheral nervous sys,,2565.0,,,,,2565.0,,0.0,,,,
G70-G73,Diseases of myoneural junction and muscle,,1482.0,1266.0,1489.0,1439.0,1551.0,1482.0,,0.0,-14.5748987854251,0.47233468286099867,-2.901484480431849,4.65587044534413
G80-G83,Cerebral palsy & other paralytic syndromes,4216.0,4334.0,3913.0,4216.0,4084.0,4333.0,4275.0,-1.3801169590643274,1.3801169590643274,-8.46783625730994,-1.3801169590643274,-4.4678362573099415,1.3567251461988303
G90-G99,Other diseases & disorders of the nervous syst.,,12758.0,12052.0,13229.0,13059.0,13792.0,12758.0,,0.0,-5.533782724564979,3.6918012227621886,2.3593039661388935,8.104718607932277
H00-H06,"Disorders of eyelid, lacrimal system and orbit",,6637.0,3702.0,5285.0,6939.0,6769.0,6637.0,,0.0,-44.22178695193612,-20.370649389784543,4.550248606298026,1.9888503842097334
"H00-H06, H15-H22, H30-H36, H43-H59",Other disorders of the eye etc,28520.0,,,,,,28520.0,0.0,,,,,
