code,description,emergency,year
S70-S79,Injuries to the hip & thigh,82126.0,2022-23
S80-S89,Injuries to the knee & lower leg,58127.0,2022-23
S90-S99,Injuries to the ankle & foot,10956.0,2022-23
T00-T07,Injuries involving multiple body regions,3331.0,2022-23
T08-T14,Injuries to unspecified part of trunk limb or body,983.0,2022-23
T15-T19,Effects of foreign body entering through natural orifice,13425.0,2022-23
T20-T32,Burns and corrosions,7654.0,2022-23
T33-T35,Frostbite,40.0,2022-23
T36-T50,Poisonings by drugs medicaments & biological substances,73488.0,2022-23
T51-T65,Tox. effcts. of substnces. chiefly non-medicinal as to source,3575.0,2022-23
T66-T78,Other and unspecified effects of external causes,10327.0,2022-23
T79-T79,Certain early complications of trauma,3729.0,2022-23
T80-T88,Complications of surgical & medical care nec.,125441.0,2022-23
U00-U49,Provisional assignment of new diseases of uncertain etiology,89242.0,2022-23
U82-U85,Resistance to antimicrobial and antineoplastic drugs,0.0,2022-23
Z00-Z13,Examination and investigation,26310.0,2022-23
Z20-Z29,Potential health hazards related to communicable diseases,499.0,2022-23
Z30-Z39,Health services in circumstances related to reproduction,5257.0,2022-23
Z40-Z54,Persons encountering health services for specific care,12411.0,2022-23
Z55-Z65,Potential health hazards reltd. to socioeconomic & psychosoc.l,595.0,2022-23
Z70-Z76,Persons encountering health services in other circs.,5216.0,2022-23
Z80-Z99,Persons with potential health hazards related to family,225.0,2022-23
